Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
03.07.2023 13:50;26.0;744.8;760.5;45;Ветер, дующий с юго-запада;6;;;;Нет существенной облачности;10.0 и более;13.0;;;
03.07.2023 13:20;27.0;744.8;760.5;39;Ветер, дующий с юго-юго-запада;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 12:50;27.0;744.8;760.5;39;Ветер, дующий с западо-юго-запада;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 12:20;26.0;744.8;760.5;42;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 11:50;26.0;744.8;760.5;39;Ветер, дующий с юго-запада;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 11:20;26.0;744.8;760.5;39;Ветер, дующий с западо-юго-запада;5;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 10:50;26.0;744.8;760.5;42;Ветер, дующий с запада;5;;;;Незначительная (10-30%) 1500 м;10.0 и более;12.0;;;
03.07.2023 10:20;25.0;744.7;760.5;47;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;13.0;;;
03.07.2023 09:50;26.0;744.8;760.5;48;Ветер, дующий с запада;5;;;;Незначительная (10-30%) 1320 м;10.0 и более;14.0;;;
03.07.2023 09:20;24.0;744.7;760.5;54;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1260 м;10.0 и более;14.0;;;
03.07.2023 08:50;24.0;744.7;760.5;54;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;14.0;;;
03.07.2023 08:20;23.0;744.6;760.5;57;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;14.0;;;
03.07.2023 07:50;23.0;744.6;760.5;53;Ветер, дующий с западо-северо-запада;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
03.07.2023 07:20;21.0;744.5;760.5;69;Ветер, дующий с юго-юго-востока;2;;;;Незначительная (10-30%) 1500 м;10.0 и более;15.0;;;
03.07.2023 06:50;21.0;744.5;760.5;60;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
03.07.2023 06:20;19.0;744.4;760.5;73;Ветер, дующий с юго-запада;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
03.07.2023 05:50;17.0;744.3;760.5;77;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
03.07.2023 05:20;16.0;743.5;759.7;83;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;13.0;;;
03.07.2023 04:50;14.0;743.3;759.7;82;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 04:20;13.0;743.3;759.7;88;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 03:50;13.0;743.3;759.7;88;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 03:20;14.0;743.3;759.7;82;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 02:50;14.0;743.3;759.7;82;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 02:20;14.0;743.3;759.7;82;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
03.07.2023 01:50;16.0;743.5;759.7;77;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 01:20;16.0;743.5;759.7;77;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 00:50;17.0;743.5;759.7;73;Ветер, дующий с западо-юго-запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
03.07.2023 00:20;18.0;743.6;759.7;68;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 23:50;18.0;743.6;759.7;68;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 23:20;17.0;743.5;759.7;73;Ветер, дующий с западо-юго-запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 22:50;19.0;743.6;759.7;64;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 22:20;19.0;743.6;759.7;64;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 21:50;19.0;743.6;759.7;68;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 21:20;20.0;743.0;759.0;64;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 20:50;21.0;743.0;759.0;60;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 20:20;21.0;743.0;759.0;57;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 19:50;22.0;742.3;758.2;53;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 19:20;23.0;742.4;758.2;50;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 18:50;23.0;742.4;758.2;50;Ветер, дующий с запада;7;;;;Незначительная (10-30%) 1380 м;10.0 и более;12.0;;;
02.07.2023 18:20;23.0;742.4;758.2;50;Ветер, дующий с запада;8;;;;Незначительная (10-30%) 1380 м;10.0 и более;12.0;;;
02.07.2023 17:50;24.0;742.4;758.2;47;Ветер, дующий с запада;9;;;;Незначительная (10-30%) 1380 м;10.0 и более;12.0;;;
02.07.2023 17:20;24.0;742.4;758.2;44;Ветер, дующий с западо-северо-запада;10;;;;Незначительная (10-30%) 1380 м;10.0 и более;11.0;;;
02.07.2023 16:50;24.0;742.4;758.2;44;Ветер, дующий с запада;11;;;;Незначительная (10-30%) 1380 м;10.0 и более;11.0;;;
02.07.2023 16:20;24.0;742.4;758.2;47;Ветер, дующий с западо-северо-запада;10;;;;Незначительная (10-30%) 1380 м;10.0 и более;12.0;;;
02.07.2023 15:50;24.0;742.4;758.2;47;Ветер, дующий с запада;10;;;;Незначительная (10-30%) 1380 м;10.0 и более;12.0;;;
02.07.2023 15:20;25.0;742.5;758.2;47;Ветер, дующий с запада;9;;;;Незначительная (10-30%) 1380 м;10.0 и более;13.0;;;
02.07.2023 14:50;25.0;742.0;757.7;47;Ветер, дующий с западо-северо-запада;10;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 14:20;24.0;741.9;757.7;50;Ветер, дующий с запада;10;;;;Незначительная (10-30%) 1440 м;10.0 и более;13.0;;;
02.07.2023 13:50;24.0;741.9;757.7;50;Ветер, дующий с западо-северо-запада;10;;;;Незначительная (10-30%) 1500 м;10.0 и более;13.0;;;
02.07.2023 13:20;25.0;742.0;757.7;47;Ветер, дующий с западо-северо-запада;9;;;;Незначительная (10-30%) 1380 м;10.0 и более;13.0;;;
02.07.2023 12:50;25.0;742.0;757.7;47;Ветер, дующий с западо-северо-запада;9;;;;Незначительная (10-30%) 1260 м;10.0 и более;13.0;;;
02.07.2023 12:20;25.0;742.0;757.7;51;Ветер, дующий с запада;8;;;;Незначительная (10-30%) 1200 м;10.0 и более;14.0;;;
02.07.2023 11:50;25.0;742.0;757.7;51;Ветер, дующий с запада;8;;;;Нет существенной облачности;10.0 и более;14.0;;;
02.07.2023 11:20;25.0;742.0;757.7;51;Ветер, дующий с запада;7;;;;Незначительная (10-30%) 1200 м;10.0 и более;14.0;;;
02.07.2023 10:50;24.0;741.9;757.7;54;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1140 м;10.0 и более;14.0;;;
02.07.2023 10:20;24.0;741.9;757.7;54;Ветер, дующий с западо-северо-запада;6;;;;Незначительная (10-30%) 1200 м;10.0 и более;14.0;;;
02.07.2023 09:50;24.0;741.9;757.7;54;Ветер, дующий с запада;6;;;;Незначительная (10-30%) 1200 м;10.0 и более;14.0;;;
02.07.2023 09:20;24.0;741.9;757.7;57;Ветер, дующий с западо-северо-запада;9;;;;Незначительная (10-30%) 1050 м;10.0 и более;15.0;;;
02.07.2023 08:50;23.0;741.9;757.7;61;Ветер, дующий с западо-северо-запада;8;;;;Незначительная (10-30%) 1020 м;10.0 и более;15.0;;;
02.07.2023 08:20;22.0;741.8;757.7;65;Ветер, дующий с западо-северо-запада;7;;;;Незначительная (10-30%) 1500 м;10.0 и более;15.0;;;
02.07.2023 07:50;21.0;741.8;757.7;69;Ветер, дующий с западо-северо-запада;8;;;;Незначительная (10-30%) 900 м, разорванная (60-90%) 1500 м;10.0 и более;15.0;;;
02.07.2023 07:20;21.0;741.8;757.7;64;Ветер, дующий с западо-северо-запада;9;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
02.07.2023 06:50;21.0;741.0;756.9;64;Ветер, дующий с западо-северо-запада;9;;;;Нет существенной облачности;10.0 и более;14.0;;;
02.07.2023 06:20;21.0;741.0;756.9;60;Ветер, дующий с западо-северо-запада;9;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 05:50;21.0;740.3;756.2;60;Ветер, дующий с западо-северо-запада;8;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 05:20;21.0;740.3;756.2;60;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;13.0;;;
02.07.2023 04:50;20.0;740.2;756.2;60;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 04:20;20.0;740.2;756.2;60;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 03:50;19.0;740.2;756.2;64;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 03:20;19.0;740.2;756.2;64;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 02:50;17.0;740.1;756.2;73;Ветер, дующий с севера;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 02:20;16.0;740.0;756.2;77;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 01:50;17.0;740.1;756.2;73;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 01:20;17.0;740.1;756.2;73;Ветер, дующий с западо-юго-запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 00:50;18.0;740.1;756.2;68;Ветер, дующий с западо-юго-запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
02.07.2023 00:20;20.0;740.2;756.2;60;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
01.07.2023 23:50;20.0;740.2;756.2;60;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
01.07.2023 23:20;20.0;740.2;756.2;60;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
01.07.2023 22:50;20.0;740.2;756.2;60;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
01.07.2023 22:20;21.0;740.3;756.2;57;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
01.07.2023 21:50;21.0;740.3;756.2;60;Ветер, дующий с западо-юго-запада;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 21:20;21.0;740.3;756.2;60;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 20:50;21.0;740.3;756.2;60;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 20:20;21.0;740.3;756.2;60;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 19:50;22.0;739.6;755.4;57;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 19:20;22.0;739.6;755.4;57;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 18:50;22.0;739.6;755.4;57;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 18:20;22.0;739.6;755.4;57;Ветер, дующий с запада;7;;;;Нет существенной облачности;10.0 и более;13.0;;;
01.07.2023 17:50;23.0;739.6;755.4;57;Ветер, дующий с запада;7;;;;Нет существенной облачности;10.0 и более;14.0;;;
01.07.2023 17:20;23.0;739.6;755.4;57;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;14.0;;;
01.07.2023 16:50;23.0;739.6;755.4;57;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;14.0;;;
01.07.2023 16:20;23.0;739.6;755.4;57;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;14.0;;;
01.07.2023 15:50;23.0;739.6;755.4;61;Ветер, дующий с запада;8;;;;Нет существенной облачности;10.0 и более;15.0;;;
01.07.2023 15:20;24.0;739.7;755.4;61;Ветер, дующий с западо-северо-запада;6;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 14:50;24.0;740.5;756.2;61;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 14:20;24.0;740.5;756.2;61;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 840 м;10.0 и более;16.0;;;
01.07.2023 13:50;24.0;740.5;756.2;61;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 960 м;10.0 и более;16.0;;;
01.07.2023 13:20;24.0;740.5;756.2;61;Ветер, дующий с северо-запада;4;;;;Рассеянная (40-50%) 1020 м;10.0 и более;16.0;;;
01.07.2023 12:50;23.0;740.4;756.2;65;Ветер, дующий с северо-северо-запада;3;;;;Незначительная (10-30%) 900 м;10.0 и более;16.0;;;
01.07.2023 12:20;23.0;740.4;756.2;65;Ветер, дующий с северо-запада;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 11:50;22.0;741.0;756.9;69;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 780 м;10.0 и более;16.0;;;
01.07.2023 11:20;22.0;741.0;756.9;73;Ветер, дующий с северо-северо-запада;4;;;;Незначительная (10-30%) 720 м;10.0 и более;17.0;;;
01.07.2023 10:50;22.0;741.0;756.9;69;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 660 м;10.0 и более;16.0;;;
01.07.2023 10:20;22.0;741.0;756.9;69;Ветер, дующий с северо-запада;5;;;;Незначительная (10-30%) 660 м;10.0 и более;16.0;;;
01.07.2023 09:50;22.0;741.0;756.9;69;Ветер, дующий с северо-северо-запада;5;;;;Незначительная (10-30%) 720 м;10.0 и более;16.0;;;
01.07.2023 09:20;22.0;741.0;756.9;69;Ветер, дующий с северо-запада;6;;;;Незначительная (10-30%) 720 м;10.0 и более;16.0;;;
01.07.2023 08:50;22.0;741.0;756.9;73;Ветер, дующий с северо-северо-запада;4;;;;Нет существенной облачности;10.0 и более;17.0;;;
01.07.2023 08:20;21.0;741.0;756.9;78;Ветер, дующий с северо-запада;4;;;;Нет существенной облачности;10.0 и более;17.0;;;
01.07.2023 07:50;20.0;740.9;756.9;83;Ветер, дующий с северо-запада;4;;;;Нет существенной облачности;10.0 и более;17.0;;;
01.07.2023 07:20;20.0;740.9;756.9;83;Ветер, дующий с севера;2;;;;Нет существенной облачности;10.0 и более;17.0;;;
01.07.2023 06:50;19.0;740.9;756.9;83;Ветер, дующий с севера;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 06:20;19.0;740.9;756.9;83;Ветер, дующий с северо-северо-востока;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 05:50;19.0;740.9;756.9;83;Ветер, дующий с севера;2;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 05:20;19.0;740.9;756.9;83;Ветер, дующий с северо-запада;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 04:50;18.0;740.8;756.9;88;Ветер, дующий с северо-северо-запада;2;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 04:20;18.0;740.8;756.9;88;Ветер, дующий с северо-запада;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 03:50;19.0;740.9;756.9;78;Ветер, дующий с западо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;15.0;;;
01.07.2023 03:20;19.0;740.9;756.9;83;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 02:50;18.0;740.8;756.9;88;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 02:20;19.0;740.9;756.9;83;Ветер, дующий с западо-северо-запада;4;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 01:50;19.0;740.9;756.9;83;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;16.0;;;
01.07.2023 01:20;19.0;740.9;756.9;83;Ветер, дующий с западо-северо-запада;4;;;;Незначительная (10-30%) 1500 м, кучевые мощные большой вертикальной протяженности;10.0 и более;16.0;;;
01.07.2023 00:50;19.0;740.9;756.9;88;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
01.07.2023 00:20;19.0;740.9;756.9;88;Ветер, дующий с запада;4;;;;Незначительная (10-30%) 60 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 23:50;19.0;740.9;756.9;88;Ветер, дующий с северо-северо-запада;2;;Слабый(ая)(ые) ливень (ливни), дождь, вблизи гроза;Гроза, дождь;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1440 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 23:20;19.0;740.9;756.9;83;Ветер, дующий с запада;5;;Слабый(ая)(ые) гроза, дождь;Ливень (ливни), дождь;Незначительная (10-30%) 1020 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;16.0;;;
30.06.2023 22:50;20.0;741.7;757.7;83;Ветер, дующий с западо-северо-запада;6;;Слабый(ая)(ые) ливень (ливни), дождь, вблизи гроза;Гроза, дождь;Незначительная (10-30%) 1440 м, разорванная (60-90%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 22:20;20.0;741.7;757.7;88;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) гроза, дождь;Ливень (ливни), дождь;Незначительная (10-30%) 360 м, разорванная (60-90%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;18.0;;;
30.06.2023 21:50;21.0;741.8;757.7;78;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) гроза, дождь;;Незначительная (10-30%) 450 м, сплошная (100%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 21:20;21.0;741.0;756.9;78;Ветер, дующий с северо-северо-запада;3;;Вблизи гроза;;Разорванная (60-90%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 20:50;22.0;741.0;756.9;73;Ветер, дующий с северо-запада;4;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;17.0;;;
30.06.2023 20:20;23.0;741.1;756.9;69;Ветер, дующий с западо-северо-запада;5;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучевые мощные большой вертикальной протяженности;10.0 и более;17.0;;;
30.06.2023 19:50;23.0;740.4;756.2;69;Переменное направление;1;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучевые мощные большой вертикальной протяженности;10.0 и более;17.0;;;
30.06.2023 19:20;24.0;740.5;756.2;61;Ветер, дующий с северо-запада;4;;;;Разорванная (60-90%) 1500 м, незначительная (10-30%) 1500 м, кучевые мощные большой вертикальной протяженности;10.0 и более;16.0;;;
30.06.2023 18:50;25.0;740.5;756.2;57;Ветер, дующий с юго-юго-востока;2;;Слабый(ая)(ые) ливень (ливни), дождь, вблизи гроза;;Незначительная (10-30%) 1320 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;16.0;;;
30.06.2023 18:20;26.0;740.6;756.2;51;Ветер, дующий с юго-юго-востока;3;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1320 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;15.0;;;
30.06.2023 17:50;26.0;740.6;756.2;51;Ветер, дующий с юго-востока;3;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;15.0;;;
30.06.2023 17:20;27.0;740.6;756.2;48;Ветер, дующий с юго-востока;3;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;15.0;;;
30.06.2023 16:50;27.0;740.6;756.2;48;Ветер, дующий с юго-востока;4;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;15.0;;;
30.06.2023 16:20;29.0;740.7;756.2;43;Ветер, дующий с юго-востока;5;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;15.0;;;
30.06.2023 15:50;29.0;740.7;756.2;40;Ветер, дующий с юго-востока;5;;;;Незначительная (10-30%) 1500 м, незначительная (10-30%) 1500 м, кучево-дождевые облака;10.0 и более;14.0;;;
30.06.2023 15:20;29.0;740.7;756.2;37;Ветер, дующий с юго-востока;5;;;;Незначительная (10-30%) 1500 м;10.0 и более;13.0;;;
30.06.2023 14:50;28.0;741.4;756.9;40;Ветер, дующий с юго-юго-востока;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;13.0;;;
30.06.2023 14:20;28.0;741.4;756.9;42;Ветер, дующий с юго-юго-востока;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
30.06.2023 13:50;28.0;742.1;757.7;42;Ветер, дующий с юга;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
30.06.2023 13:20;28.0;742.1;757.7;42;Ветер, дующий с юго-востока;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
30.06.2023 12:50;27.0;742.1;757.7;45;Ветер, дующий с юго-востока;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
30.06.2023 12:20;26.0;742.5;758.2;45;Ветер, дующий с юго-юго-востока;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;13.0;;;
30.06.2023 11:50;26.0;742.5;758.2;48;Ветер, дующий с юго-юго-востока;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;14.0;;;
30.06.2023 11:20;25.0;742.5;758.2;54;Ветер, дующий с востоко-юго-востока;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;15.0;;;
30.06.2023 10:50;25.0;743.3;759.0;51;Ветер, дующий с востоко-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 10:20;24.0;743.2;759.0;54;Ветер, дующий с востоко-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 09:50;23.0;743.1;759.0;57;Переменное направление;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 09:20;22.0;743.1;759.0;61;Ветер, дующий с востоко-юго-востока;3;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 08:50;22.0;743.1;759.0;61;Переменное направление;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 08:20;21.0;743.0;759.0;64;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 07:50;21.0;743.0;759.0;64;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;14.0;;;
30.06.2023 07:20;19.0;742.9;759.0;68;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
30.06.2023 06:50;18.0;742.9;759.0;73;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
30.06.2023 06:20;17.0;742.8;759.0;77;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;13.0;;;
30.06.2023 05:50;16.0;742.8;759.0;83;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
30.06.2023 05:20;15.0;742.7;759.0;88;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;13.0;;;
30.06.2023 04:50;14.0;742.7;759.0;88;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 04:20;14.0;742.7;759.0;88;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 03:50;14.0;742.7;759.0;82;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;11.0;;;
30.06.2023 03:20;14.0;743.3;759.7;88;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 02:50;15.0;743.4;759.7;82;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 02:20;16.0;743.5;759.7;77;Ветер, дующий с юго-юго-запада;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 01:50;16.0;743.5;759.7;77;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 01:20;17.0;743.5;759.7;73;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 00:50;16.0;743.5;759.7;77;Ветер, дующий с юго-юго-востока;1;;;;Нет существенной облачности;10.0 и более;12.0;;;
30.06.2023 00:20;16.0;743.5;759.7;77;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;12.0;;;
29.06.2023 23:50;16.0;743.5;759.7;77;Ветер, дующий с юга;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
29.06.2023 23:20;17.0;743.5;759.7;73;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;12.0;;;
29.06.2023 22:50;18.0;744.3;760.5;64;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 22:20;17.0;744.3;760.5;68;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 21:50;18.0;744.3;760.5;64;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 21:20;19.0;744.4;760.5;60;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 20:50;20.0;744.5;760.5;56;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 20:20;21.0;744.5;760.5;53;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 19:50;22.0;744.6;760.5;53;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
29.06.2023 19:20;23.0;744.6;760.5;50;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;12.0;;;
29.06.2023 18:50;24.0;744.7;760.5;44;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
29.06.2023 18:20;25.0;744.7;760.5;42;Ветер, дующий с востоко-юго-востока;3;;;;Нет существенной облачности;10.0 и более;11.0;;;
